ax,ay,bx,by,ax2,ay2
-0.008130081301,0.006134969325,123,163,-0.5823123304,0.3969063645
-0.005586592179,-0.008547008547,179,117,-0.4871503413,-0.5982160015
-0.005847953216,-0.005235602094,171,191,0.661881177,0.1421731638
-0.009090909091,-0.006711409396,110,149,0.461762812,0.5198977402
-0.005524861878,-0.008695652174,181,115,0.9228899372,0.9785600605
0.008403361345,0.005050505051,119,198,-0.6727262475,0.3779447291
0.006211180124,0.005586592179,161,179,0.4005115803,0.9602986798
-0.005347593583,-0.01123595506,187,89,-0.644902613,-0.1585123258
-0.007042253521,-0.005586592179,142,179,-0.7551924533,0.8535883288
-0.006369426752,-0.005076142132,157,197,-0.1205894365,0.3106183584
0.005882352941,0.006622516556,170,151,-0.2311861028,-0.7587010156
0.008695652174,-0.007575757576,115,132,-0.2354900375,0.5301954791
-0.008403361345,0.005988023952,119,167,-0.5607967313,-0.8507992233
-0.005524861878,-0.005464480874,181,183,-0.5268115581,-0.2620598106
-0.00518134715,-0.005025125628,193,199,-0.5779897509,-0.2794337198
-0.005649717514,0.005988023952,177,167,-0.1377891428,0.7421499023
0.005847953216,0.006711409396,171,149,-0.3342166914,-0.8732757559
0.005586592179,0.007194244604,179,139,0.9748921977,0.8328881743
0.01234567901,0.005780346821,81,173,-0.1957392737,0.1883027104
-0.005347593583,0.006802721088,187,147,0.2951008569,-0.8749142822
-0.005347593583,0.01754385965,187,57,-0.105967081,-0.7931630326
-0.005649717514,-0.00518134715,177,193,-0.826570468,0.1106628943
-0.005917159763,-0.007246376812,169,138,0.3849680267,-0.5849996247
-0.005464480874,-0.005235602094,183,191,0.7970495304,0.2823486835
-0.007751937984,-0.005025125628,129,199,0.05440850254,-0.00609617513
-0.005917159763,0.006535947712,169,153,0.08284438772,0.7191747527
0.005076142132,-0.006993006993,197,143,-0.6310659226,0.3531240596
0.005988023952,-0.006211180124,167,161,-0.6235254096,0.4882848656
0.005405405405,-0.005586592179,185,179,-0.8084176749,0.9026279403
-0.006289308176,-0.005882352941,159,170,0.6486771775,0.5897210382
0.005347593583,0.005263157895,187,190,0.0285481613,0.3220457353
-0.008130081301,-0.00826446281,123,121,0.4281183187,0.2884416021
0.006622516556,-0.006369426752,151,157,-0.2634774965,0.9399331247
0.00518134715,0.01176470588,193,85,0.2884875075,0.901042377
-0.005347593583,-0.006211180124,187,161,0.6160328939,-0.952952311
-0.005076142132,-0.005847953216,197,171,0.5206161682,0.3881569979
-0.007462686567,0.01075268817,134,93,-0.8162405537,-0.5488126625
-0.005649717514,-0.005780346821,177,173,0.06329902541,-0.0360832403
0.006666666667,-0.01204819277,150,83,0.7014421523,-0.3445627229
-0.006289308176,0.005076142132,159,197,0.05290715373,-0.5979670559
-0.007462686567,0.01538461538,134,65,0.4585266675,-0.0977851961
-0.006060606061,0.005154639175,165,194,0.09239652573,-0.9403831593
0.005747126437,0.01492537313,174,67,0.102147795,0.1252147975
0.005649717514,-0.005714285714,177,175,0.1952524615,0.7576339287
0.007518796992,-0.01265822785,133,79,-0.8717177777,-0.4574695554
-0.006993006993,-0.01020408163,143,98,0.5007323978,0.9728170295
0.005291005291,0.005524861878,189,181,-0.462554625,0.008478727579
0.008,-0.005154639175,125,194,0.2492396713,-0.1173820876
-0.006622516556,0.00826446281,151,121,0.8468835337,0.01557528348
0.005347593583,-0.005714285714,187,175,-0.5246269199,0.1404839465
-0.008695652174,-0.01265822785,115,79,0.152331076,0.8491062552
0.0101010101,-0.008474576271,99,118,0.9110521099,0.5391920178
0.005524861878,-0.006024096386,181,166,-0.275555312,0.01149366021
-0.006329113924,0.005347593583,158,187,-0.08314274375,0.4350726085
0.006578947368,-0.006896551724,152,145,0.6903169856,0.6567780944
0.008,0.007874015748,125,127,-0.7730036565,-0.399706506
-0.005464480874,0.00518134715,183,193,-0.02545310376,-0.7334090258
0.005780346821,-0.005714285714,173,175,0.7142187134,-0.2738995286
-0.007407407407,0.005681818182,135,176,0.8790195452,0.4107765759
0.005586592179,0.005917159763,179,169,-0.2900909071,0.3810575138
0.005154639175,-0.005025125628,194,199,-0.9065533085,0.431853226
-0.005208333333,0.00518134715,192,193,-0.09706498399,0.8110758194
-0.005376344086,-0.005917159763,186,169,0.004577148379,0.394134913
0.006369426752,0.00518134715,157,193,-0.7567954073,-0.5610542016
-0.006329113924,-0.005291005291,158,189,-0.6720710036,-0.4908932961
0.006622516556,0.006802721088,151,147,-0.9658445137,-0.2784853014
0.00518134715,-0.006849315068,193,146,-0.5505385532,0.775430845
-0.009345794393,0.006622516556,107,151,0.8867900659,0.3722694099
0.006134969325,0.007633587786,163,131,-0.3700278699,0.5695695699
-0.005747126437,0.005524861878,174,181,0.6797518943,0.2303044894
-0.005,-0.006535947712,200,153,-0.4524868815,0.8713166009
-0.006289308176,-0.005714285714,159,175,0.5609844382,-0.7010281675
0.006756756757,-0.006211180124,148,161,-0.7286360165,-0.1642729733
0.005681818182,-0.00518134715,176,193,-0.47507429,-0.06081230272
0.007299270073,-0.005235602094,137,191,-0.8797648758,-0.8161605885
-0.006211180124,-0.006369426752,161,157,-0.7740555792,-0.5348908046
0.007299270073,-0.005681818182,137,176,0.6172330067,0.1995302527
0.008474576271,0.005780346821,118,173,0.7979980957,-0.7317595518
-0.005988023952,-0.006802721088,167,147,0.5412907984,-0.3383952138
-0.005235602094,-0.005291005291,191,189,0.7881074229,-0.6020628776
0.005405405405,0.005780346821,185,173,0.862370306,0.4459539426
0.007194244604,0.005988023952,139,167,0.4969590322,-0.5174603874
0.007692307692,0.005235602094,130,191,-0.08781299212,-0.9656026847
-0.007407407407,-0.007194244604,135,139,0.866381149,0.4127532276
0.007407407407,0.005524861878,135,181,-0.8863676601,-0.2346619053
0.005988023952,0.005347593583,167,187,0.5875439303,0.3846174669
0.005917159763,-0.009009009009,169,111,0.1325083244,-0.9448184681
0.005988023952,-0.006535947712,167,153,0.8689369083,-0.07676030416
0.005617977528,-0.009345794393,178,107,-0.03850347228,0.0120138708
0.006369426752,0.005780346821,157,173,0.9151982888,0.823990597
-0.006993006993,0.007092198582,143,141,-0.7768805436,0.05337097899
-0.007246376812,0.005524861878,138,181,-0.5900211831,0.7936858724
-0.007407407407,0.005586592179,135,179,0.810643617,0.3650011376
0.005714285714,0.005464480874,175,183,-0.6760595627,-0.397721308
0.01162790698,-0.005714285714,86,175,0.06670774333,0.6171932027
0.005347593583,-0.006211180124,187,161,0.09671758318,-0.2052321761
-0.005208333333,-0.006134969325,192,163,0.1717344732,-0.5603173771
-0.007194244604,0.006622516556,139,151,-0.8253256755,-0.9369485218
-0.01538461538,-0.005649717514,65,177,-0.1170919397,-0.4255614271
-0.005291005291,0.005076142132,189,197,0.4223323875,0.8050196747
0.005025125628,-0.005076142132,199,197,-0.9652239368,-0.2107082583
